ISim log file
Running: /home/ise/shared_xlnx/Asgn5_Q1/test_lfsr_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/ise/shared_xlnx/Asgn5_Q1/test_lfsr_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
dff_out = xxxx
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
dff_out = 0010
dff_out = 1001
dff_out = 1100
dff_out = 0110
dff_out = 1011
dff_out = 0101
dff_out = 1010
dff_out = 1101
dff_out = 1110
dff_out = 1111
dff_out = 0111
dff_out = 0011
dff_out = 0001
dff_out = 1000
dff_out = 0100
Stopped at time : 416 ns : File "/home/ise/shared_xlnx/Asgn5_Q1/test_lfsr.v" Line 62
# exit 0
